"Source","Target"
"ou_2415691","tag_28"
"ou_2415691","tag_29"
"ou_1110547","tag_16"
"ou_1110547","tag_17"
"ou_1110547","tag_22"
"ou_1110547","tag_24"
"ou_3164632","tag_15"
"ou_3164632","tag_22"
"ou_3164632","tag_24"
"ou_3164632","tag_4"
"ou_2149683","tag_3"
"ou_2149683","tag_23"
"ou_2149683","tag_13"
"ou_2149683","tag_24"
"ou_2149683","tag_26"
"ou_2355696","tag_31"
"ou_2355696","tag_20"
"ou_2355696","tag_25"
"ou_2355696","tag_28"
"ou_2355696","tag_29"
"ou_1863404","tag_5"
"ou_1863404","tag_31"
"ou_1863404","tag_20"
"ou_1863404","tag_25"
"ou_1863404","tag_28"
"ou_1863404","tag_29"
"ou_2253650","tag_1"
"ou_2253650","tag_2"
"ou_2253650","tag_25"
"ou_2253650","tag_28"
"ou_2253650","tag_29"
"ou_159888","tag_1"
"ou_159888","tag_2"
"ou_159888","tag_8"
"ou_2117288","tag_31"
"ou_2117288","tag_20"
"ou_2117288","tag_8"
"ou_904545","tag_1"
"ou_904545","tag_2"
"ou_904545","tag_25"
"ou_904545","tag_28"
"ou_904545","tag_29"
"ou_1753286","tag_32"
"ou_1753286","tag_4"
"ou_1753286","tag_26"
"ou_1753286","tag_5"
"ou_67205","tag_11"
"ou_67205","tag_14"
"ou_67205","tag_15"
"ou_67205","tag_27"
"ou_1753296","tag_27"
"ou_1753296","tag_32"
"ou_1753296","tag_4"
"ou_1753296","tag_26"
"ou_1856284","tag_25"
"ou_1856284","tag_28"
"ou_1856284","tag_29"
"ou_1309545","tag_32"
"ou_1309545","tag_4"
"ou_1309545","tag_5"
"ou_1309545","tag_31"
"ou_1309545","tag_20"
"ou_1607137","tag_11"
"ou_1607137","tag_14"
"ou_1607137","tag_15"
"ou_1607137","tag_16"
"ou_1607137","tag_17"
"ou_1607137","tag_22"
"ou_1607137","tag_24"
"ou_1607137","tag_26"
"ou_1607137","tag_7"
"ou_55201","tag_7"
"ou_55201","tag_19"
"ou_1445561","tag_25"
"ou_1445561","tag_28"
"ou_1445561","tag_29"
"ou_2205652","tag_1"
"ou_2205652","tag_2"
"ou_1110546","tag_30"
"ou_2105284","tag_9"
"ou_1125546","tag_1"
"ou_1125546","tag_2"
"ou_3176553","tag_5"
"ou_3176553","tag_31"
"ou_3176553","tag_20"
"ou_3176553","tag_25"
"ou_3176553","tag_28"
"ou_3176553","tag_29"
"ou_1938284","tag_31"
"ou_1938284","tag_20"
